year,month,category,count
2018,1,bus,131
2018,1,car,47162
2018,1,lorry,1849
2018,1,motorcycle,49794
2018,1,other,1802
2018,1,trailer,575
2018,1,van,202
2018,2,bus,96
2018,2,car,41705
2018,2,lorry,1506
2018,2,motorcycle,39773
2018,2,other,1492
2018,2,trailer,443
2018,2,van,182
2018,3,bus,88
2018,3,car,49810
2018,3,lorry,2022
2018,3,motorcycle,48055
2018,3,other,1813
2018,3,trailer,743
2018,3,van,294
2018,4,bus,68
2018,4,car,47834
2018,4,lorry,2071
2018,4,motorcycle,47462
2018,4,other,1875
2018,4,trailer,575
2018,4,van,297
2018,5,bus,72
2018,5,car,44598
2018,5,lorry,1681
2018,5,motorcycle,36283
2018,5,other,1531
2018,5,trailer,512
2018,5,van,197
2018,6,bus,69
2018,6,car,65460
2018,6,lorry,1576
2018,6,motorcycle,44469
2018,6,other,1732
2018,6,trailer,560
2018,6,van,228
2018,7,bus,101
2018,7,car,70869
2018,7,lorry,2024
2018,7,motorcycle,53761
2018,7,other,2008
2018,7,trailer,826
2018,7,van,397
2018,8,bus,112
2018,8,car,70506
2018,8,lorry,2923
2018,8,motorcycle,53162
2018,8,other,2106
2018,8,trailer,1100
2018,8,van,800
2018,9,bus,64
2018,9,car,31009
2018,9,lorry,1758
2018,9,motorcycle,43740
2018,9,other,1725
2018,9,trailer,471
2018,9,van,358
2018,10,bus,87
2018,10,car,46624
2018,10,lorry,2138
2018,10,motorcycle,50839
2018,10,other,1804
2018,10,trailer,636
2018,10,van,266
2018,11,bus,84
2018,11,car,46471
2018,11,lorry,1781
2018,11,motorcycle,41340
2018,11,other,1491
2018,11,trailer,476
2018,11,van,238
2018,12,bus,64
2018,12,car,46946
2018,12,lorry,1987
2018,12,motorcycle,44795
2018,12,other,1517
2018,12,trailer,603
2018,12,van,315
2019,1,bus,94
2019,1,car,50739
2019,1,lorry,1780
2019,1,motorcycle,59658
2019,1,other,1568
2019,1,trailer,592
2019,1,van,213
2019,2,bus,40
2019,2,car,38730
2019,2,lorry,1036
2019,2,motorcycle,41261
2019,2,other,932
2019,2,trailer,433
2019,2,van,153
2019,3,bus,106
2019,3,car,55001
2019,3,lorry,1800
2019,3,motorcycle,52674
2019,3,other,1504
2019,3,trailer,595
2019,3,van,302
2019,4,bus,85
2019,4,car,51234
2019,4,lorry,1917
2019,4,motorcycle,53428
2019,4,other,1476
2019,4,trailer,660
2019,4,van,252
2019,5,bus,115
2019,5,car,63077
2019,5,lorry,1920
2019,5,motorcycle,51953
2019,5,other,1550
2019,5,trailer,505
2019,5,van,326
2019,6,bus,75
2019,6,car,41501
2019,6,lorry,1419
2019,6,motorcycle,36184
2019,6,other,1096
2019,6,trailer,232
2019,6,van,208
2019,7,bus,124
2019,7,car,53057
2019,7,lorry,1773
2019,7,motorcycle,55112
2019,7,other,1676
2019,7,trailer,1002
2019,7,van,274
2019,8,bus,102
2019,8,car,52289
2019,8,lorry,1632
2019,8,motorcycle,51205
2019,8,other,1637
2019,8,trailer,722
2019,8,van,327
2019,9,bus,115
2019,9,car,45404
2019,9,lorry,1514
2019,9,motorcycle,46797
2019,9,other,1403
2019,9,trailer,444
2019,9,van,342
2019,10,bus,98
2019,10,car,54111
2019,10,lorry,1721
2019,10,motorcycle,50271
2019,10,other,1670
2019,10,trailer,553
2019,10,van,337
2019,11,bus,109
2019,11,car,52631
2019,11,lorry,1689
2019,11,motorcycle,45645
2019,11,other,1483
2019,11,trailer,508
2019,11,van,461
2019,12,bus,81
2019,12,car,55199
2019,12,lorry,1990
2019,12,motorcycle,52590
2019,12,other,1624
2019,12,trailer,561
2019,12,van,312
2020,1,bus,131
2020,1,car,47597
2020,1,lorry,1270
2020,1,motorcycle,55427
2020,1,other,1133
2020,1,trailer,362
2020,1,van,196
2020,2,bus,72
2020,2,car,43276
2020,2,lorry,1349
2020,2,motorcycle,57927
2020,2,other,1313
2020,2,trailer,618
2020,2,van,239
2020,3,bus,44
2020,3,car,23044
2020,3,lorry,1017
2020,3,motorcycle,34033
2020,3,other,881
2020,3,trailer,259
2020,3,van,171
2020,4,car,129
2020,4,motorcycle,1456
2020,5,bus,26
2020,5,car,24399
