date,mode,ridership,rank
2019-01-01,rail_lrt_kj,139634.0,1.0
2019-01-01,rail_mrt_kajang,114173.0,2.0
2019-01-01,rail_lrt_ampang,113357.0,3.0
2019-01-01,rail_monorail,35804.0,4.0
2019-01-02,rail_lrt_kj,274224.0,1.0
2019-01-02,rail_lrt_ampang,182715.0,2.0
2019-01-02,rail_mrt_kajang,169316.0,3.0
2019-01-02,rail_monorail,31859.0,4.0
2019-01-03,rail_lrt_kj,286469.0,1.0
2019-01-03,rail_lrt_ampang,187904.0,2.0
2019-01-03,rail_mrt_kajang,175304.0,3.0
2019-01-03,rail_monorail,31893.0,4.0
2019-01-04,rail_lrt_kj,304755.0,1.0
2019-01-04,rail_lrt_ampang,198420.0,2.0
2019-01-04,rail_mrt_kajang,187891.0,3.0
2019-01-04,rail_monorail,34121.0,4.0
2019-01-05,rail_lrt_kj,145036.0,1.0
2019-01-05,rail_lrt_ampang,120773.0,2.0
2019-01-05,rail_mrt_kajang,112660.0,3.0
2019-01-05,rail_monorail,29950.0,4.0
2019-01-06,rail_lrt_kj,120032.0,1.0
2019-01-06,rail_lrt_ampang,101145.0,2.0
2019-01-06,rail_mrt_kajang,95913.0,3.0
2019-01-06,rail_monorail,25342.0,4.0
2019-01-07,rail_lrt_kj,301290.0,1.0
2019-01-07,rail_lrt_ampang,197569.0,2.0
2019-01-07,rail_mrt_kajang,184365.0,3.0
2019-01-07,rail_monorail,31988.0,4.0
2019-01-08,rail_lrt_kj,304680.0,1.0
2019-01-08,rail_lrt_ampang,196879.0,2.0
2019-01-08,rail_mrt_kajang,185920.0,3.0
2019-01-08,rail_monorail,31792.0,4.0
2019-01-09,rail_lrt_kj,307069.0,1.0
2019-01-09,rail_lrt_ampang,197314.0,2.0
2019-01-09,rail_mrt_kajang,188770.0,3.0
2019-01-09,rail_monorail,32305.0,4.0
2019-01-10,rail_lrt_kj,310510.0,1.0
2019-01-10,rail_lrt_ampang,198876.0,2.0
2019-01-10,rail_mrt_kajang,189818.0,3.0
2019-01-10,rail_monorail,32057.0,4.0
2019-01-11,rail_lrt_kj,326471.0,1.0
2019-01-11,rail_lrt_ampang,209859.0,2.0
2019-01-11,rail_mrt_kajang,204378.0,3.0
2019-01-11,rail_monorail,33265.0,4.0
2019-01-12,rail_lrt_kj,152720.0,1.0
2019-01-12,rail_lrt_ampang,124608.0,2.0
2019-01-12,rail_mrt_kajang,123932.0,3.0
2019-01-12,rail_monorail,30671.0,4.0
2019-01-13,rail_lrt_kj,127805.0,1.0
2019-01-13,rail_mrt_kajang,108346.0,2.0
2019-01-13,rail_lrt_ampang,106718.0,3.0
2019-01-13,rail_monorail,27235.0,4.0
2019-01-14,rail_lrt_kj,306455.0,1.0
2019-01-14,rail_lrt_ampang,199162.0,2.0
2019-01-14,rail_mrt_kajang,192036.0,3.0
2019-01-14,rail_monorail,32172.0,4.0
2019-01-15,rail_lrt_kj,305742.0,1.0
2019-01-15,rail_lrt_ampang,195405.0,2.0
2019-01-15,rail_mrt_kajang,189880.0,3.0
2019-01-15,rail_monorail,31260.0,4.0
2019-01-16,rail_lrt_kj,311279.0,1.0
2019-01-16,rail_lrt_ampang,198901.0,2.0
2019-01-16,rail_mrt_kajang,194697.0,3.0
2019-01-16,rail_monorail,31612.0,4.0
2019-01-17,rail_lrt_kj,314277.0,1.0
2019-01-17,rail_lrt_ampang,201926.0,2.0
2019-01-17,rail_mrt_kajang,194701.0,3.0
2019-01-17,rail_monorail,31234.0,4.0
2019-01-18,rail_lrt_kj,330484.0,1.0
2019-01-18,rail_lrt_ampang,217270.0,2.0
2019-01-18,rail_mrt_kajang,212546.0,3.0
2019-01-18,rail_monorail,35981.0,4.0
2019-01-19,rail_lrt_kj,157194.0,1.0
2019-01-19,rail_lrt_ampang,130758.0,2.0
2019-01-19,rail_mrt_kajang,127306.0,3.0
2019-01-19,rail_monorail,30339.0,4.0
2019-01-20,rail_lrt_kj,125599.0,1.0
2019-01-20,rail_mrt_kajang,110488.0,2.0
2019-01-20,rail_lrt_ampang,105012.0,3.0
2019-01-20,rail_monorail,27159.0,4.0
2019-01-21,rail_lrt_kj,125094.0,1.0
2019-01-21,rail_mrt_kajang,106077.0,2.0
2019-01-21,rail_lrt_ampang,103443.0,3.0
2019-01-21,rail_monorail,23836.0,4.0
2019-01-22,rail_lrt_kj,304452.0,1.0
2019-01-22,rail_lrt_ampang,196298.0,2.0
2019-01-22,rail_mrt_kajang,189718.0,3.0
2019-01-22,rail_monorail,31245.0,4.0
2019-01-23,rail_lrt_kj,308968.0,1.0
2019-01-23,rail_lrt_ampang,197309.0,2.0
2019-01-23,rail_mrt_kajang,193904.0,3.0
2019-01-23,rail_monorail,31051.0,4.0
2019-01-24,rail_lrt_kj,313285.0,1.0
2019-01-24,rail_lrt_ampang,198692.0,2.0
2019-01-24,rail_mrt_kajang,193784.0,3.0
2019-01-24,rail_monorail,32338.0,4.0
2019-01-25,rail_lrt_kj,332682.0,1.0
