month_str,total_ridership,car_registrations,ridership_norm,cars_norm,cars_norm_neg
2025-01,36446609.0,53930,90.3,55.6,-55.6
2025-02,34778526.0,67327,86.1,69.4,-69.4
2025-03,35759188.0,77121,88.6,79.5,-79.5
2025-04,36656747.0,65200,90.8,67.2,-67.2
2025-05,38510878.0,74393,95.4,76.7,-76.7
2025-06,36499058.0,58858,90.4,60.7,-60.7
2025-07,40377505.0,75663,100.0,78.0,-78.0
2025-08,40109547.0,78978,99.3,81.4,-81.4
2025-09,36016745.0,62598,89.2,64.6,-64.6
2025-10,38930899.0,81413,96.4,84.0,-84.0
2025-11,37569697.0,77876,93.0,80.3,-80.3
2025-12,39466003.0,96970,97.7,100.0,-100.0
